anchor,cv,vx_local_kms,density_position,voice_polyphony_dominant_to_recessive,all_voices_active,IE_or_BE_min,IE_or_BE_max,R_min_human,R_max_human,f_min_Hz,f_max_Hz,R_min_km,R_max_km,candidate_system_class
π/φ,1.9416110387254664,154403.97279405306,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.10 fm,2.417989242e+23,2.417989242e+25,1.016305410973374e-21,1.016305410973374e-19,nucleon-interior / quintic-coherence boundary / quark-cluster
integer 2,2.0,149896.229,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.10 fm,2.417989242e+23,2.417989242e+25,9.866349023311624e-22,9.866349023311623e-20,nucleon-interior / quintic-coherence boundary / quark-cluster
φ²,2.618033988749895,114510.52938512467,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.08 fm,2.417989242e+23,2.417989242e+25,7.537219964071423e-22,7.537219964071423e-20,nucleon-interior / quintic-coherence boundary / quark-cluster
integer 3,3.0,99930.81933333333,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.07 fm,2.417989242e+23,2.417989242e+25,6.577566015541083e-22,6.577566015541083e-20,nucleon-interior / quintic-coherence boundary / quark-cluster
π,3.141592653589793,95426.90318473884,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.06 fm,2.417989242e+23,2.417989242e+25,6.281112869319755e-22,6.281112869319754e-20,nucleon-interior / quintic-coherence boundary / quark-cluster
2π/φ,3.8832220774509327,77201.98639702653,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.05 fm,2.417989242e+23,2.417989242e+25,5.08152705486687e-22,5.08152705486687e-20,nucleon-interior / quintic-coherence boundary / quark-cluster
integer 4,4.0,74948.1145,nucleon-tier / quintic-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),1 GeV,100 GeV,0.00 fm,0.05 fm,2.417989242e+23,2.417989242e+25,4.933174511655812e-22,4.9331745116558116e-20,nucleon-interior / quintic-coherence boundary / quark-cluster
integer 5,5.0,59958.491599999994,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.02 fm,394.65 pm,2.417989242e+16,4.835978484e+23,1.9732698046623245e-20,3.9465396093246493e-13,mid-mass nucleus / α-particle-class / light nucleus binding
π·φ,5.0832036923152595,58977.069609314196,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.02 fm,388.19 pm,2.417989242e+16,4.835978484e+23,1.9409706202069927e-20,3.8819412404139854e-13,mid-mass nucleus / α-particle-class / light nucleus binding
integer 6,6.0,49965.40966666667,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.02 fm,328.88 pm,2.417989242e+16,4.835978484e+23,1.6443915038852706e-20,3.2887830077705413e-13,mid-mass nucleus / α-particle-class / light nucleus binding
2π,6.283185307179586,47713.45159236942,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.02 fm,314.06 pm,2.417989242e+16,4.835978484e+23,1.5702782173299386e-20,3.140556434659877e-13,mid-mass nucleus / α-particle-class / light nucleus binding
φ^4,6.854101966249686,43739.13015537402,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,287.90 pm,2.417989242e+16,4.835978484e+23,1.439480922795511e-20,2.878961845591022e-13,mid-mass nucleus / α-particle-class / light nucleus binding
integer 7,7.0,42827.494,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,281.90 pm,2.417989242e+16,4.835978484e+23,1.4094784319016606e-20,2.818956863803321e-13,mid-mass nucleus / α-particle-class / light nucleus binding
(1/α)/φ^6,7.636754490291392,39256.526889940775,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,258.39 pm,2.417989242e+16,4.835978484e+23,1.2919557694115628e-20,2.5839115388231256e-13,mid-mass nucleus / α-particle-class / light nucleus binding
integer 8,8.0,37474.05725,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,246.66 pm,2.417989242e+16,4.835978484e+23,1.2332936279139529e-20,2.466587255827906e-13,mid-mass nucleus / α-particle-class / light nucleus binding
π·φ²,8.224796345905053,36449.83357542465,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,239.92 pm,2.417989242e+16,4.835978484e+23,1.1995858144528848e-20,2.3991716289057695e-13,mid-mass nucleus / α-particle-class / light nucleus binding
6π⁵·α/φ,8.280914548956732,36202.81989720196,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,238.29 pm,2.417989242e+16,4.835978484e+23,1.1914564466257692e-20,2.3829128932515385e-13,mid-mass nucleus / α-particle-class / light nucleus binding
integer 9,9.0,33310.273111111106,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,219.25 pm,2.417989242e+16,4.835978484e+23,1.0962610025901803e-20,2.1925220051803605e-13,mid-mass nucleus / α-particle-class / light nucleus binding
π²,9.869604401089358,30375.326691605835,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,199.93 pm,2.417989242e+16,4.835978484e+23,9.99670161270357e-21,1.999340322540714e-13,mid-mass nucleus / α-particle-class / light nucleus binding
integer 10,10.0,29979.245799999997,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,197.33 pm,2.417989242e+16,4.835978484e+23,9.866349023311622e-21,1.9732698046623246e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 11,11.0,27253.859818181816,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,179.39 pm,2.417989242e+16,4.835978484e+23,8.969408203010567e-21,1.7938816406021133e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
φ^5,11.090169943749476,27032.269074376614,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,177.93 pm,2.417989242e+16,4.835978484e+23,8.89648136444689e-21,1.7792962728893782e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 12,12.0,24982.704833333333,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,164.44 pm,2.417989242e+16,4.835978484e+23,8.221957519426353e-21,1.6443915038852707e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
(1/α)/φ^5,12.356528329029851,24261.867898257602,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,159.69 pm,2.417989242e+16,4.835978484e+23,7.984725774578676e-21,1.5969451549157354e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
4π,12.566370614359172,23856.72579618471,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,157.03 pm,2.417989242e+16,4.835978484e+23,7.851391086649693e-21,1.5702782173299385e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 14,14.0,21413.747,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,140.95 pm,2.417989242e+16,4.835978484e+23,7.047392159508303e-21,1.4094784319016605e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 15,15.0,19986.163866666666,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,131.55 pm,2.417989242e+16,4.835978484e+23,6.5775660155410826e-21,1.3155132031082164e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
(2/α)/φ^6,15.273508980582784,19628.263444970387,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,129.20 pm,2.417989242e+16,4.835978484e+23,6.459778847057814e-21,1.2919557694115628e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 16,16.0,18737.028625,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,123.33 pm,2.417989242e+16,4.835978484e+23,6.1664681395697645e-21,1.233293627913953e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 17,17.0,17634.850470588233,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,116.07 pm,2.417989242e+16,4.835978484e+23,5.8037347195950725e-21,1.1607469439190143e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
φ^6,17.944271909999163,16706.861080997405,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,109.97 pm,2.417989242e+16,4.835978484e+23,5.498327863508219e-21,1.0996655727016437e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 19,19.0,15778.55042105263,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.01 fm,103.86 pm,2.417989242e+16,4.835978484e+23,5.19281527542717e-21,1.038563055085434e-13,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
(1/α)/φ^4,19.993282819321244,14994.658991683173,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,98.70 pm,2.417989242e+16,4.835978484e+23,4.934831919536953e-21,9.869663839073905e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 21,21.0,14275.831333333332,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,93.97 pm,2.417989242e+16,4.835978484e+23,4.6982614396722016e-21,9.396522879344403e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
6π⁵·α·φ,21.67971574710223,13828.246712140175,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,91.02 pm,2.417989242e+16,4.835978484e+23,4.550958664958689e-21,9.101917329917379e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 22,22.0,13626.929909090908,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,89.69 pm,2.417989242e+16,4.835978484e+23,4.4847041015052836e-21,8.969408203010566e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
(3/α)/φ^6,22.910263470874177,13085.50896331359,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,86.13 pm,2.417989242e+16,4.835978484e+23,4.306519231371876e-21,8.613038462743752e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 24,24.0,12491.352416666667,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,82.22 pm,2.417989242e+16,4.835978484e+23,4.1109787597131766e-21,8.221957519426353e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
(2/α)/φ^5,24.713056658059703,12130.933949128801,stellar / nuclear-binding,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),100 eV,2 GeV,0.00 fm,79.85 pm,2.417989242e+16,4.835978484e+23,3.992362887289338e-21,7.984725774578677e-14,exotic atom (muonic/pionic/kaonic/antiprotonic) / nuclear-isomeric
integer 25,25.0,11991.69832,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,263.10 pm,15.79 nm,120899462100000.0,7253967726000000.0,2.631026406216433e-13,1.5786158437298595e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 26,26.0,11530.479153846154,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,252.98 pm,15.18 nm,120899462100000.0,7253967726000000.0,2.5298330829004165e-13,1.5178998497402498e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 27,27.0,11103.42437037037,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,243.61 pm,14.62 nm,120899462100000.0,7253967726000000.0,2.436135561311512e-13,1.4616813367869073e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 28,28.0,10706.8735,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,234.91 pm,14.09 nm,120899462100000.0,7253967726000000.0,2.349130719836101e-13,1.4094784319016603e-11,highly-excited atom / Rydberg state / weakly-bound configuration
φ^7,29.03444185374864,10325.407993379207,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,226.54 pm,13.59 nm,120899462100000.0,7253967726000000.0,2.265435667292448e-13,1.3592614003754686e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 30,30.0,9993.081933333333,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,219.25 pm,13.16 nm,120899462100000.0,7253967726000000.0,2.1925220051803608e-13,1.3155132031082164e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 31,31.0,9670.724451612903,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,212.18 pm,12.73 nm,120899462100000.0,7253967726000000.0,2.12179548888422e-13,1.273077293330532e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 32,32.0,9368.5143125,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,205.55 pm,12.33 nm,120899462100000.0,7253967726000000.0,2.055489379856588e-13,1.2332936279139529e-11,highly-excited atom / Rydberg state / weakly-bound configuration
(1/α)/φ^3,32.3498111483511,9267.208906574426,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,203.33 pm,12.20 nm,120899462100000.0,7253967726000000.0,2.033262570027815e-13,1.2199575420166889e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 33,33.0,9084.619939393939,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,199.32 pm,11.96 nm,120899462100000.0,7253967726000000.0,1.993201822891237e-13,1.1959210937347421e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 34,34.0,8817.425235294117,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,193.46 pm,11.61 nm,120899462100000.0,7253967726000000.0,1.934578239865024e-13,1.1607469439190144e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 35,35.0,8565.4988,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,187.93 pm,11.28 nm,120899462100000.0,7253967726000000.0,1.8793045758688805e-13,1.1275827455213282e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 36,36.0,8327.568277777777,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,182.71 pm,10.96 nm,120899462100000.0,7253967726000000.0,1.8271016709836337e-13,1.0962610025901802e-11,highly-excited atom / Rydberg state / weakly-bound configuration
(3/α)/φ^5,37.069584987089556,8087.2892994192,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,177.44 pm,10.65 nm,120899462100000.0,7253967726000000.0,1.7743835054619278e-13,1.0646301032771567e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 38,38.0,7889.275210526315,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,173.09 pm,10.39 nm,120899462100000.0,7253967726000000.0,1.73093842514239e-13,1.0385630550854339e-11,highly-excited atom / Rydberg state / weakly-bound configuration
integer 39,39.0,7686.986102564102,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,168.66 pm,10.12 nm,120899462100000.0,7253967726000000.0,1.6865553886002774e-13,1.0119332331601663e-11,highly-excited atom / Rydberg state / weakly-bound configuration
(2/α)/φ^4,39.98656563864249,7497.329495841586,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,164.49 pm,9.87 nm,120899462100000.0,7253967726000000.0,1.6449439731789842e-13,9.869663839073904e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 42,42.0,7137.915666666666,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,156.61 pm,9.40 nm,120899462100000.0,7253967726000000.0,1.5660871465574005e-13,9.396522879344402e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 43,43.0,6971.917627906976,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,152.97 pm,9.18 nm,120899462100000.0,7253967726000000.0,1.529666515242112e-13,9.177999091452673e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 44,44.0,6813.464954545454,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,149.49 pm,8.97 nm,120899462100000.0,7253967726000000.0,1.4949013671684278e-13,8.969408203010566e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 45,45.0,6662.054622222222,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,146.17 pm,8.77 nm,120899462100000.0,7253967726000000.0,1.461681336786907e-13,8.770088020721443e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 46,46.0,6517.227347826087,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,142.99 pm,8.58 nm,120899462100000.0,7253967726000000.0,1.4299056555524092e-13,8.579433933314454e-12,highly-excited atom / Rydberg state / weakly-bound configuration
φ^8,46.978713763747805,6381.453087618198,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,140.01 pm,8.40 nm,120899462100000.0,7253967726000000.0,1.400116241713031e-13,8.400697450278185e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 48,48.0,6245.676208333333,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,137.03 pm,8.22 nm,120899462100000.0,7253967726000000.0,1.3703262532377255e-13,8.221957519426352e-12,highly-excited atom / Rydberg state / weakly-bound configuration
integer 49,49.0,6118.213428571428,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,134.24 pm,8.05 nm,120899462100000.0,7253967726000000.0,1.3423604113349146e-13,8.054162468009487e-12,highly-excited atom / Rydberg state / weakly-bound configuration
(1/α)/φ^2,52.343093967672345,5727.450085108744,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,125.66 pm,7.54 nm,120899462100000.0,7253967726000000.0,1.256625376330153e-13,7.539752257980918e-12,standard atomic-shell boundary / ionization-class / spectroscopic
(3/α)/φ^4,59.97984845796373,4998.219663894391,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,109.66 pm,6.58 nm,120899462100000.0,7253967726000000.0,1.0966293154526561e-13,6.579775892715936e-12,standard atomic-shell boundary / ionization-class / spectroscopic
(2/α)/φ^3,64.6996222967022,4633.604453287213,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,101.66 pm,6.10 nm,120899462100000.0,7253967726000000.0,1.0166312850139075e-13,6.0997877100834444e-12,standard atomic-shell boundary / ionization-class / spectroscopic
φ^9,76.01315561749645,3943.954905761007,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,86.53 pm,5.19 nm,120899462100000.0,7253967726000000.0,8.653194255794164e-14,5.191916553476498e-12,standard atomic-shell boundary / ionization-class / spectroscopic
(1/α)/φ,84.69290511602345,3539.7588214656816,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,77.66 pm,4.66 nm,120899462100000.0,7253967726000000.0,7.76637193697662e-14,4.659823162185972e-12,standard atomic-shell boundary / ionization-class / spectroscopic
(3/α)/φ^3,97.0494334450533,3089.0696355248087,atomic / biological / shell-coherence,β7 › β6 › β5 › β4 › β3,YES (β1...β7 simultaneously per P3GG law),0.5 eV,30 eV,67.78 pm,4.07 nm,120899462100000.0,7253967726000000.0,6.777541900092717e-14,4.06652514005563e-12,standard atomic-shell boundary / ionization-class / spectroscopic
