name,R_pm,R_fm,R_m,R_km,f_eV,f_MeV,f_Hz,vx_kms,note,fault_hint
Jupiter at predicted PCF,,,,69911,,,0.6826,,Jovian PCF: K_psim/R = 47713.45/69911,
Neutron Star (canonical 10 km),,,,10,,,,,Canonical neutron star R=10km - Predict mode requires vx,
Neutron Star at vacuum c,,,,10,,,,299792.458,Predict mode: NS at vacuum reference,
Crab Pulsar (R=10km),,,,10,,,29.947,,Map mode: R=10km f=29.947Hz canonical neutron star,
Crab Pulsar at actual R,,,,11.62,,,29.947,,Map mode at AG-determined R=11.62km giving 137.0,
White Dwarf Sirius B,,,,5840,,,,299792.458,Predict mode: WD R=5840km vacuum ref,
Earth-Moon system 384400 km,,,,384400,,,,299792.458,Predict mode: Earth-Moon distance,
H2 molecule bond length,74,,,,15.4259,,,,H2 molecular ionization 15.4259eV bond 74pm,C1
H2O bond O-H,96,,,,12.621,,,,Water O-H bond 96pm IE 12.621eV,C1
N2 triple bond,109.76,,,,15.581,,,,Nitrogen molecule bond 109.76pm IE 15.581eV,C1
O2 double bond,120.74,,,,12.0697,,,,Oxygen molecule bond 120.74pm IE 12.0697eV,C1
CO2 C-O bond,116.3,,,,13.777,,,,Carbon dioxide C-O 116.3pm IE 13.777eV,C1
CH4 methane C-H bond,108.7,,,,12.61,,,,Methane C-H 108.7pm IE 12.61eV,C1
NH3 ammonia N-H,101.7,,,,10.07,,,,Ammonia N-H 101.7pm IE 10.07eV,C1
HCl molecule,127.5,,,,12.74,,,,Hydrogen chloride 127.5pm IE 12.74eV,C1
NaCl bond,236.1,,,,9.2,,,,Sodium chloride bond 236.1pm IE ~9.2eV,C1
Diamond C-C bond,154,,,,11.27,,,,Diamond carbon-carbon bond 154pm bandgap-related ~11eV,C1
Graphene C-C in-plane,142,,,,4.6,,,,Graphene C-C 142pm work function 4.6eV,C1
Benzene C-C aromatic,139,,,,9.24,,,,Benzene aromatic 139pm IE 9.24eV,C1
DNA base pair distance,340,,,,3.5,,,,DNA stacking 340pm pi-stacking energy ~3.5eV scale,C1
Alpha particle (He-4 nucleus),,1.6755,,,,28.2957,,,Same as He-4 nuclide entry but flagged as alpha - reference check,C1
Deuteron (D nucleus),,2.1421,,,,2.2246,,,Deuteron R=2.1421fm BE=2.2246MeV,C1
Triton (H-3),,1.7591,,,,8.4818,,,Tritium nucleus R=1.7591fm BE=8.4818MeV src=Angeli2013,C1
He-6 (halo nucleus),,2.068,,,,29.272,,,He-6 neutron-halo nucleus Rc=2.068fm BE=29.272MeV,C1
Li-11 (halo nucleus),,3.434,,,,76.20,,,Li-11 two-neutron halo Rc=3.434fm BE=76.20MeV,C1
Be-11 (halo nucleus),,2.463,,,,65.479,,,Be-11 one-neutron halo,C1
C-14 radioactive,,2.5025,,,,105.285,,,Carbon-14 Rc=2.5025fm BE=105.285MeV,C1
Tc-99 metastable,,4.514,,,,852.743,,,Technetium-99 nuclear isomer,C1
Cs-137 fission product,,4.804,,,,1149.293,,,Cesium-137 long-lived fission product,C1
I-131 fission product,,4.766,,,,1103.319,,,Iodine-131 medical isotope,C1
Pu-239 fissile,,5.751,,,,1806.921,,,Plutonium-239 fissile isotope,C1
Pu-244 (longest-lived Pu),,5.785,,,,1836.058,,,Plutonium-244 longest-lived isotope of element 94,C1
Cm-247,,5.843,,,,1859.245,,,Curium-247 long-lived Z=96,C1
