Object,Mode,Derived_Var,R_km,f_Hz,vx_kms,f_pred_Sphere_T1_Hz,f_pred_Slab_T1_Hz,f_pred_Torus_T1_Hz,R_rec_Sphere_T2_km,t_rec_Slab_T2_km,Rminor_Torus_T2_km,Vx_map_Sphere_T3_kms,Vx_map_Slab_T3_kms,Vx_map_Torus_T3_kms,Cl_T1_Sphere_%,Cl_T1_Slab_%,Cl_T1_Torus_%,Cl_T2_Sphere_%,Cl_T2_Slab_%,R_over_Rminor_T2_Torus_%,Cl_T3_Sphere_%,Cl_T3_Slab_%,Cl_T3_Torus_%,Matched_Topology,P3GG_Active,Ratio_f_sphere_over_f_obs,Ratio_factorized,Fault_Code,Note
Sodium (Na Z=11),Map:     f+R->vx,vx_kms,1.66e-13,1.24263e+15,1296.07,1.24263e+15,3.90383e+15,1.24263e+15,1.66e-13,5.21504e-13,1.66e-13,1296.07,412.553,1296.07,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=11 cov=166pm IE=5.1391eV geo=measured
Magnesium (Mg Z=12),Map:     f+R->vx,vx_kms,1.41e-13,1.84884e+15,1637.94,1.84884e+15,5.80831e+15,1.84884e+15,1.41e-13,4.42965e-13,1.41e-13,1637.94,521.374,1637.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=12 cov=141pm IE=7.6462eV geo=measured
Aluminum (Al Z=13),Map:     f+R->vx,vx_kms,1.21e-13,1.44736e+15,1100.38,1.44736e+15,4.54702e+15,1.44736e+15,1.21e-13,3.80133e-13,1.21e-13,1100.38,350.261,1100.38,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=13 cov=121pm IE=5.9858eV geo=measured
Silicon (Si Z=14),Map:     f+R->vx,vx_kms,1.11e-13,1.97107e+15,1374.69,1.97107e+15,6.19231e+15,1.97107e+15,1.11e-13,3.48717e-13,1.11e-13,1374.69,437.578,1374.69,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=14 cov=111pm IE=8.1517eV geo=measured
Phosphorus (P Z=15),Map:     f+R->vx,vx_kms,1.07e-13,2.53567e+15,1704.73,2.53567e+15,7.96605e+15,2.53567e+15,1.07e-13,3.3615e-13,1.07e-13,1704.73,542.634,1704.73,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=15 cov=107pm IE=10.4867eV geo=measured
Sulfur (S Z=16),Map:     f+R->vx,vx_kms,1.05e-13,2.50504e+15,1652.66,2.50504e+15,7.86981e+15,2.50504e+15,1.05e-13,3.29867e-13,1.05e-13,1652.66,526.058,1652.66,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=16 cov=105pm IE=10.3600eV geo=measured
Chlorine (Cl Z=17),Map:     f+R->vx,vx_kms,1.02e-13,3.13555e+15,2009.53,3.13555e+15,9.85063e+15,3.13555e+15,1.02e-13,3.20442e-13,1.02e-13,2009.53,639.653,2009.53,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=17 cov=102pm IE=12.9676eV geo=measured
Argon (Ar Z=18),Map:     f+R->vx,vx_kms,1.06e-13,3.81065e+15,2537.96,3.81065e+15,1.19715e+16,3.81065e+15,1.06e-13,3.33009e-13,1.06e-13,2537.96,807.859,2537.96,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=18 cov=106pm IE=15.7596eV geo=measured
Potassium (K Z=19),Map:     f+R->vx,vx_kms,2.03e-13,1.04958e+15,1338.72,1.04958e+15,3.29734e+15,1.04958e+15,2.03e-13,6.37743e-13,2.03e-13,1338.72,426.128,1338.72,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=19 cov=203pm IE=4.3407eV geo=measured
Calcium (Ca Z=20),Map:     f+R->vx,vx_kms,1.76e-13,1.47817e+15,1634.62,1.47817e+15,4.64379e+15,1.47817e+15,1.76e-13,5.5292e-13,1.76e-13,1634.62,520.314,1634.62,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=20 cov=176pm IE=6.1132eV geo=measured
Scandium (Sc Z=21),Map:     f+R->vx,vx_kms,1.7e-13,1.58656e+15,1694.67,1.58656e+15,4.98434e+15,1.58656e+15,1.7e-13,5.34071e-13,1.7e-13,1694.67,539.432,1694.67,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=21 cov=170pm IE=6.5615eV geo=measured
Titanium (Ti Z=22),Map:     f+R->vx,vx_kms,1.6e-13,1.65103e+15,1659.79,1.65103e+15,5.18686e+15,1.65103e+15,1.6e-13,5.02655e-13,1.6e-13,1659.79,528.329,1659.79,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=22 cov=160pm IE=6.8281eV geo=measured
Vanadium (V Z=23),Map:     f+R->vx,vx_kms,1.53e-13,1.63122e+15,1568.14,1.63122e+15,5.12464e+15,1.63122e+15,1.53e-13,4.80664e-13,1.53e-13,1568.14,499.155,1568.14,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=23 cov=153pm IE=6.7462eV geo=measured
Chromium (Cr Z=24),Map:     f+R->vx,vx_kms,1.39e-13,1.63613e+15,1428.94,1.63613e+15,5.14006e+15,1.63613e+15,1.39e-13,4.36681e-13,1.39e-13,1428.94,454.845,1428.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=24 cov=139pm IE=6.7665eV geo=measured
Manganese (Mn Z=25),Map:     f+R->vx,vx_kms,1.39e-13,1.79753e+15,1569.9,1.79753e+15,5.64712e+15,1.79753e+15,1.39e-13,4.36681e-13,1.39e-13,1569.9,499.714,1569.9,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=25 cov=139pm IE=7.4340eV geo=measured
Iron (Fe Z=26),Map:     f+R->vx,vx_kms,1.32e-13,1.91079e+15,1584.77,1.91079e+15,6.00293e+15,1.91079e+15,1.32e-13,4.1469e-13,1.32e-13,1584.77,504.449,1584.77,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=26 cov=132pm IE=7.9024eV geo=measured
Cobalt (Co Z=27),Map:     f+R->vx,vx_kms,1.26e-13,1.90562e+15,1508.64,1.90562e+15,5.98667e+15,1.90562e+15,1.26e-13,3.95841e-13,1.26e-13,1508.64,480.216,1508.64,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=27 cov=126pm IE=7.8810eV geo=measured
Nickel (Ni Z=28),Map:     f+R->vx,vx_kms,1.24e-13,1.8473e+15,1439.26,1.8473e+15,5.80345e+15,1.8473e+15,1.24e-13,3.89557e-13,1.24e-13,1439.26,458.129,1439.26,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=28 cov=124pm IE=7.6398eV geo=measured
Copper (Cu Z=29),Map:     f+R->vx,vx_kms,1.32e-13,1.86824e+15,1549.48,1.86824e+15,5.86923e+15,1.86824e+15,1.32e-13,4.1469e-13,1.32e-13,1549.48,493.214,1549.48,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=29 cov=132pm IE=7.7264eV geo=measured
Zinc (Zn Z=30),Map:     f+R->vx,vx_kms,1.22e-13,2.27151e+15,1741.22,2.27151e+15,7.13615e+15,2.27151e+15,1.22e-13,3.83274e-13,1.22e-13,1741.22,554.248,1741.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=30 cov=122pm IE=9.3942eV geo=measured
Gallium (Ga Z=31),Map:     f+R->vx,vx_kms,1.22e-13,1.45062e+15,1111.97,1.45062e+15,4.55727e+15,1.45062e+15,1.22e-13,3.83274e-13,1.22e-13,1111.97,353.952,1111.97,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=31 cov=122pm IE=5.9993eV geo=measured
Germanium (Ge Z=32),Map:     f+R->vx,vx_kms,1.2e-13,1.91007e+15,1440.16,1.91007e+15,6.00065e+15,1.91007e+15,1.2e-13,3.76991e-13,1.2e-13,1440.16,458.416,1440.16,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=32 cov=120pm IE=7.8994eV geo=measured
Arsenic (As Z=33),Map:     f+R->vx,vx_kms,1.19e-13,2.36687e+15,1769.71,2.36687e+15,7.43575e+15,2.36687e+15,1.19e-13,3.7385e-13,1.19e-13,1769.71,563.316,1769.71,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=33 cov=119pm IE=9.7886eV geo=measured
Selenium (Se Z=34),Map:     f+R->vx,vx_kms,1.2e-13,2.35812e+15,1777.98,2.35812e+15,7.40825e+15,2.35812e+15,1.2e-13,3.76991e-13,1.2e-13,1777.98,565.949,1777.98,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=34 cov=120pm IE=9.7524eV geo=measured
Bromine (Br Z=35),Map:     f+R->vx,vx_kms,1.2e-13,2.85656e+15,2153.8,2.85656e+15,8.97416e+15,2.85656e+15,1.2e-13,3.76991e-13,1.2e-13,2153.8,685.575,2153.8,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=35 cov=120pm IE=11.8138eV geo=measured
Krypton (Kr Z=36),Map:     f+R->vx,vx_kms,1.16e-13,3.38509e+15,2467.22,3.38509e+15,1.06346e+16,3.38509e+15,1.16e-13,3.64425e-13,1.16e-13,2467.22,785.34,2467.22,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=36 cov=116pm IE=13.9996eV geo=measured
Rubidium (Rb Z=37),Map:     f+R->vx,vx_kms,2.2e-13,1.01002e+15,1396.15,1.01002e+15,3.17307e+15,1.01002e+15,2.2e-13,6.9115e-13,2.2e-13,1396.15,444.408,1396.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=37 cov=220pm IE=4.1771eV geo=measured
Strontium (Sr Z=38),Map:     f+R->vx,vx_kms,1.95e-13,1.37702e+15,1687.15,1.37702e+15,4.32604e+15,1.37702e+15,1.95e-13,6.12611e-13,1.95e-13,1687.15,537.038,1687.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=38 cov=195pm IE=5.6949eV geo=measured
Yttrium (Y Z=39),Map:     f+R->vx,vx_kms,1.9e-13,1.50329e+15,1794.63,1.50329e+15,4.72272e+15,1.50329e+15,1.9e-13,5.96903e-13,1.9e-13,1794.63,571.249,1794.63,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=39 cov=190pm IE=6.2171eV geo=measured
Zirconium (Zr Z=40),Map:     f+R->vx,vx_kms,1.75e-13,1.60407e+15,1763.77,1.60407e+15,5.03933e+15,1.60407e+15,1.75e-13,5.49779e-13,1.75e-13,1763.77,561.424,1763.77,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=40 cov=175pm IE=6.6339eV geo=measured
Niobium (Nb Z=41),Map:     f+R->vx,vx_kms,1.64e-13,1.63429e+15,1684.05,1.63429e+15,5.13429e+15,1.63429e+15,1.64e-13,5.15221e-13,1.64e-13,1684.05,536.049,1684.05,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=41 cov=164pm IE=6.7589eV geo=measured
Molybdenum (Mo Z=42),Map:     f+R->vx,vx_kms,1.54e-13,1.71493e+15,1659.39,1.71493e+15,5.38763e+15,1.71493e+15,1.54e-13,4.83805e-13,1.54e-13,1659.39,528.2,1659.39,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=42 cov=154pm IE=7.0924eV geo=measured
Technetium (Tc Z=43),Map:     f+R->vx,vx_kms,1.47e-13,1.7603e+15,1625.86,1.7603e+15,5.53013e+15,1.7603e+15,1.47e-13,4.61814e-13,1.47e-13,1625.86,517.527,1625.86,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=43 cov=147pm IE=7.28eV geo=measured
Ruthenium (Ru Z=44),Map:     f+R->vx,vx_kms,1.46e-13,1.77976e+15,1632.65,1.77976e+15,5.59128e+15,1.77976e+15,1.46e-13,4.58673e-13,1.46e-13,1632.65,519.69,1632.65,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=44 cov=146pm IE=7.3605eV geo=measured
Rhodium (Rh Z=45),Map:     f+R->vx,vx_kms,1.42e-13,1.80355e+15,1609.15,1.80355e+15,5.66603e+15,1.80355e+15,1.42e-13,4.46106e-13,1.42e-13,1609.15,512.209,1609.15,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=45 cov=142pm IE=7.4589eV geo=measured
Palladium (Pd Z=46),Map:     f+R->vx,vx_kms,1.39e-13,2.01585e+15,1760.57,2.01585e+15,6.33299e+15,2.01585e+15,1.39e-13,4.36681e-13,1.39e-13,1760.57,560.407,1760.57,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=46 cov=139pm IE=8.3369eV geo=measured
Silver (Ag Z=47),Map:     f+R->vx,vx_kms,1.45e-13,1.83192e+15,1668.99,1.83192e+15,5.75514e+15,1.83192e+15,1.45e-13,4.55531e-13,1.45e-13,1668.99,531.256,1668.99,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=47 cov=145pm IE=7.5762eV geo=measured
Cadmium (Cd Z=48),Map:     f+R->vx,vx_kms,1.44e-13,2.17469e+15,1967.61,2.17469e+15,6.83199e+15,2.17469e+15,1.44e-13,4.52389e-13,1.44e-13,1967.61,626.311,1967.61,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=48 cov=144pm IE=8.9938eV geo=measured
Indium (In Z=49),Map:     f+R->vx,vx_kms,1.42e-13,1.39915e+15,1248.33,1.39915e+15,4.39554e+15,1.39915e+15,1.42e-13,4.46106e-13,1.42e-13,1248.33,397.357,1248.33,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=49 cov=142pm IE=5.7864eV geo=measured
Tin (Sn Z=50),Map:     f+R->vx,vx_kms,1.39e-13,1.77575e+15,1550.87,1.77575e+15,5.57867e+15,1.77575e+15,1.39e-13,4.36681e-13,1.39e-13,1550.87,493.658,1550.87,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=50 cov=139pm IE=7.3439eV geo=measured
Antimony (Sb Z=51),Map:     f+R->vx,vx_kms,1.39e-13,2.0815e+15,1817.91,2.0815e+15,6.53923e+15,2.0815e+15,1.39e-13,4.36681e-13,1.39e-13,1817.91,578.658,1817.91,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=51 cov=139pm IE=8.6084eV geo=measured
Tellurium (Te Z=52),Map:     f+R->vx,vx_kms,1.38e-13,2.17851e+15,1888.94,2.17851e+15,6.844e+15,2.17851e+15,1.38e-13,4.3354e-13,1.38e-13,1888.94,601.269,1888.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=52 cov=138pm IE=9.0096eV geo=measured
Iodine (I Z=53),Map:     f+R->vx,vx_kms,1.39e-13,2.52711e+15,2207.09,2.52711e+15,7.93916e+15,2.52711e+15,1.39e-13,4.36681e-13,1.39e-13,2207.09,702.537,2207.09,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=53 cov=139pm IE=10.4513eV geo=measured
Xenon (Xe Z=54),Map:     f+R->vx,vx_kms,1.4e-13,2.93297e+15,2579.98,2.93297e+15,9.21421e+15,2.93297e+15,1.4e-13,4.39823e-13,1.4e-13,2579.98,821.232,2579.98,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=54 cov=140pm IE=12.1298eV geo=measured
Cesium (Cs Z=55),Map:     f+R->vx,vx_kms,2.44e-13,9.41541e+14,1443.47,9.41541e+14,2.95794e+15,9.41541e+14,2.44e-13,7.66549e-13,2.44e-13,1443.47,459.472,1443.47,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=55 cov=244pm IE=3.8939eV geo=measured
Barium (Ba Z=56),Map:     f+R->vx,vx_kms,2.15e-13,1.26018e+15,1702.36,1.26018e+15,3.95898e+15,1.26018e+15,2.15e-13,6.75442e-13,2.15e-13,1702.36,541.879,1702.36,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=56 cov=215pm IE=5.2117eV geo=measured
Lanthanum (La Z=57),Map:     f+R->vx,vx_kms,2.07e-13,1.34849e+15,1753.87,1.34849e+15,4.2364e+15,1.34849e+15,2.07e-13,6.5031e-13,2.07e-13,1753.87,558.274,1753.87,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=57 cov=207pm IE=5.5769eV geo=measured
Cerium (Ce Z=58),Map:     f+R->vx,vx_kms,2.04e-13,1.33925e+15,1716.61,1.33925e+15,4.20738e+15,1.33925e+15,2.04e-13,6.40885e-13,2.04e-13,1716.61,546.415,1716.61,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=58 cov=204pm IE=5.5387eV geo=measured
Praseodymium (Pr Z=59),Map:     f+R->vx,vx_kms,2.03e-13,1.32337e+15,1687.94,1.32337e+15,4.15748e+15,1.32337e+15,2.03e-13,6.37743e-13,2.03e-13,1687.94,537.286,1687.94,100,31.831,100,100,31.831,100,100,314.159,100,sphere,All P3GG voices active: b1=1.000 b2=4.236 b3=17.944 b4=76.013 b5=321.997,1,1 (err=0.00%),C1,Z=59 cov=203pm IE=5.473eV geo=measured
